City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,81.48,scattered clouds,-21.3585,55.7679,p'ti case d'éléna
1,Rikitea,PF,75.63,light rain,-23.1203,-134.9692,People ThankYou
2,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Little Italy Hotel
9,Atuona,PF,78.33,clear sky,-9.8,-139.0333,Villa Enata
11,Hilo,US,76.73,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Bantogon,PH,85.77,clear sky,6.5333,124.0333,Kalamansig Greenhome
20,Kavaratti,IN,81.68,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
24,Mogadishu,SO,79.56,overcast clouds,2.0371,45.3438,Hotel Juba
31,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
40,Bengkulu,ID,83.79,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
45,Saint-Joseph,RE,80.47,few clouds,-21.3667,55.6167,La Bohème
48,Batemans Bay,AU,81.19,light rain,-35.7167,150.1833,Batemans Bay Marina Resort
49,Mecca,SA,77.63,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
50,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
54,Cap Malheureux,MU,79.47,few clouds,-19.9842,57.6142,Canonnier Beachcomber Golf Resort & Spa
56,Cotonou,BJ,80.56,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
62,Alofi,NU,76.89,light intensity shower rain,-19.0595,-169.9187,Scenic Matavai Resort Niue
66,Mirpur Sakro,PK,75.42,clear sky,24.5474,67.6277,Ali muhammad’s house
69,Narrabri,AU,83.52,overcast clouds,-30.3167,149.7833,Crossroads Hotel
71,Naze,JP,76.12,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
76,Miri,MY,86.14,scattered clouds,4.4148,114.0089,ParkCity Everly Hotel
81,Nishihara,JP,76.66,overcast clouds,26.1842,127.7558,DoubleTree by Hilton Hotel Naha
82,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
84,Mahebourg,MU,79.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
89,Bushehr,IR,77.02,clear sky,28.9684,50.8385,Yas Hotel
93,Buala,SB,86.27,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
96,Morant Bay,JM,82.02,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
98,Kavieng,PG,85.41,clear sky,-2.5744,150.7967,Nusa Island Retreat
103,Padang,ID,82.45,light rain,-0.9492,100.3543,Mercure Padang
