City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-11-07 00:59:44,-53.15,-70.9167,50.11,81,90,9.22
1,Vila Velha,BR,2021-11-07 00:59:45,-20.3297,-40.2925,73.94,82,75,1.01
2,Hobart,AU,2021-11-07 00:59:45,-42.8794,147.3294,66.02,53,75,1.01
3,Dikson,RU,2021-11-07 00:59:46,73.5069,80.5464,17.4,95,100,3.18
4,Bluff,NZ,2021-11-07 00:59:46,-46.6,168.3333,63.81,80,96,9.55
5,Ketchikan,US,2021-11-07 00:59:47,55.3422,-131.6461,39.97,90,100,2.37
6,Busselton,AU,2021-11-07 00:59:47,-33.65,115.3333,60.04,51,13,7.36
7,Albany,US,2021-11-07 00:59:47,42.6001,-73.9662,38.01,76,0,2.46
8,Victoria,HK,2021-11-07 00:59:44,22.2855,114.1577,82.45,84,1,3.0
9,Paamiut,GL,2021-11-07 00:59:48,61.994,-49.6678,25.25,72,89,11.16
10,Bardiyah,LY,2021-11-07 00:59:49,31.7561,25.0865,68.72,80,0,7.23
11,Yarmouth,US,2021-11-07 00:59:49,41.7057,-70.2286,48.96,71,1,1.01
12,Los Llanos De Aridane,ES,2021-11-07 00:59:50,28.6585,-17.9182,65.95,73,75,3.0
13,Saldanha,ZA,2021-11-07 00:59:50,-33.0117,17.9442,51.85,69,100,17.81
14,Bengkulu,ID,2021-11-07 00:59:50,-3.8004,102.2655,73.42,95,100,15.7
15,Bredasdorp,ZA,2021-11-07 00:59:51,-34.5322,20.0403,52.92,82,27,3.44
16,Mahebourg,MU,2021-11-07 00:59:51,-20.4081,57.7,75.49,83,40,5.75
17,Montalvo,EC,2021-11-07 00:59:52,-1.8,-79.3333,75.78,65,99,4.12
18,Broken Hill,AU,2021-11-07 00:59:52,-31.95,141.4333,60.51,88,90,16.11
19,Balakhninskiy,RU,2021-11-07 00:59:53,58.0106,114.2769,16.95,93,100,5.26
20,Arraial Do Cabo,BR,2021-11-07 00:59:53,-22.9661,-42.0278,69.42,73,10,5.46
21,Luang Prabang,LA,2021-11-07 00:59:54,19.8856,102.1347,71.56,100,90,4.61
22,Georgetown,MY,2021-11-07 00:59:54,5.4112,100.3354,82.33,86,20,1.01
23,Hithadhoo,MV,2021-11-07 00:59:55,-0.6,73.0833,82.96,69,96,15.97
24,Nikolskoye,RU,2021-11-07 00:59:55,59.7035,30.7861,39.87,83,60,8.99
25,Kavieng,PG,2021-11-07 00:59:55,-2.5744,150.7967,85.8,69,20,15.1
26,Avera,US,2021-11-07 00:55:52,33.194,-82.5271,50.38,38,100,13.98
27,Qeshm,IR,2021-11-07 00:59:56,26.9581,56.2719,73.29,66,0,3.06
28,Clyde River,CA,2021-11-07 00:59:56,70.4692,-68.5914,6.44,89,48,4.74
29,Esperance,AU,2021-11-07 00:59:57,-33.8667,121.9,60.64,61,42,2.86
30,Saint-Augustin,CA,2021-11-07 00:59:57,51.226,-58.6502,36.57,88,100,12.62
31,Lagoa,PT,2021-11-07 00:59:58,39.05,-27.9833,68.38,85,47,28.97
32,Longyearbyen,SJ,2021-11-07 00:59:58,78.2186,15.6401,7.41,84,8,1.23
33,Simplicio Mendes,BR,2021-11-07 00:59:59,-7.8539,-41.9103,74.8,87,100,4.59
34,Ushuaia,AR,2021-11-07 00:59:59,-54.8,-68.3,42.46,93,90,6.91
35,Vaini,TO,2021-11-07 01:00:00,-21.2,-175.2,82.56,89,75,6.91
36,Provideniya,RU,2021-11-07 01:00:00,64.3833,-173.3,20.8,89,98,7.65
37,Rikitea,PF,2021-11-07 01:00:01,-23.1203,-134.9692,75.72,81,96,15.17
38,Codo,BR,2021-11-07 01:00:02,-4.4553,-43.8856,76.46,87,72,3.31
39,Tautira,PF,2021-11-07 01:00:03,-17.7333,-149.15,82.42,78,61,6.91
40,Norman Wells,CA,2021-11-07 01:00:04,65.282,-126.8329,23.34,98,100,0.58
41,Sanaur,IN,2021-11-07 01:00:04,30.3025,76.4553,63.41,41,0,6.87
42,Port Alfred,ZA,2021-11-07 01:00:05,-33.5906,26.891,63.34,88,100,2.01
43,Telimele,GN,2021-11-07 01:00:06,10.9167,-13.3333,70.16,91,66,1.45
44,Amapa,BR,2021-11-07 01:00:07,1.0,-52.0,72.19,98,100,2.3
45,Tilichiki,RU,2021-11-07 01:01:08,60.4667,166.1,28.36,90,100,4.81
46,Yellowknife,CA,2021-11-07 00:59:12,62.456,-114.3525,31.41,90,75,9.22
47,Necochea,AR,2021-11-07 01:01:09,-38.5473,-58.7368,49.03,67,100,9.28
48,Castro,BR,2021-11-07 01:01:10,-24.7911,-50.0119,63.09,98,22,5.91
49,Biak,ID,2021-11-07 01:01:10,-0.9131,122.8766,83.82,68,99,2.01
50,New Norfolk,AU,2021-11-07 01:01:10,-42.7826,147.0587,65.66,26,8,0.47
51,Pevek,RU,2021-11-07 01:01:11,69.7008,170.3133,2.44,79,100,11.83
52,Qaanaaq,GL,2021-11-07 01:01:11,77.484,-69.3632,5.72,74,90,7.63
53,Terrace,CA,2021-11-07 01:01:12,54.5163,-128.6035,42.42,93,90,0.0
54,Ardmore,US,2021-11-07 01:01:12,34.1743,-97.1436,56.01,69,1,3.0
55,Lorengau,PG,2021-11-07 01:01:13,-2.0226,147.2712,83.93,77,88,9.62
56,Klaksvik,FO,2021-11-07 01:01:13,62.2266,-6.589,47.32,96,100,24.2
57,Escanaba,US,2021-11-07 01:00:40,45.7453,-87.0646,53.26,90,0,11.01
58,Kavaratti,IN,2021-11-07 01:01:14,10.5669,72.642,81.59,72,85,9.8
59,Khatanga,RU,2021-11-07 01:01:15,71.9667,102.5,10.76,95,100,4.9
60,Mulchen,CL,2021-11-07 01:01:15,-37.7167,-72.2333,59.25,64,0,6.24
61,Paris,FR,2021-11-07 00:57:47,48.8534,2.3488,48.11,90,90,1.99
62,Chokurdakh,RU,2021-11-07 01:01:16,70.6333,147.9167,-6.7,98,74,6.69
63,Alice Springs,AU,2021-11-07 01:01:16,-23.7,133.8833,72.95,78,75,6.91
64,Barrow,US,2021-11-07 01:01:01,71.2906,-156.7887,21.22,86,90,9.22
65,Tasiilaq,GL,2021-11-07 01:01:17,65.6145,-37.6368,24.96,78,75,8.34
66,Port Elizabeth,ZA,2021-11-07 01:00:15,-33.918,25.5701,61.11,84,100,9.57
67,Kaitangata,NZ,2021-11-07 01:01:17,-46.2817,169.8464,58.93,72,100,7.2
68,Yenagoa,NG,2021-11-07 01:01:18,4.9247,6.2642,76.05,95,100,3.67
69,Cape Town,ZA,2021-11-07 01:01:18,-33.9258,18.4232,58.26,75,82,3.0
70,Mataura,NZ,2021-11-07 01:01:19,-46.1927,168.8643,65.48,35,74,2.13
71,Kapaa,US,2021-11-07 01:01:19,22.0752,-159.319,84.18,73,17,1.99
72,Haslett,US,2021-11-07 01:01:20,42.747,-84.4011,46.31,66,1,1.99
73,Jamestown,US,2021-11-07 00:59:28,42.097,-79.2353,43.34,76,33,1.01
74,Waipawa,NZ,2021-11-07 01:01:20,-41.4122,175.5153,61.3,90,100,4.94
75,Kodiak,US,2021-11-07 01:01:21,57.79,-152.4072,33.4,63,9,9.71
76,Zyryanka,RU,2021-11-07 01:01:21,65.75,150.85,9.1,90,100,15.95
77,Belyy Yar,RU,2021-11-07 01:01:22,53.6039,91.3903,30.09,71,40,13.42
78,Novorudnyy,RU,2021-11-07 01:01:22,51.5026,58.1873,29.79,24,100,14.72
79,Port Hardy,CA,2021-11-07 01:01:23,50.6996,-127.4199,41.49,85,100,8.32
80,Ushtobe,KZ,2021-11-07 01:01:23,45.2514,77.9838,12.16,91,6,5.57
81,Yulara,AU,2021-11-07 01:01:24,-25.2406,130.9889,73.71,55,100,6.24
82,Olafsvik,IS,2021-11-07 00:57:15,64.8945,-23.7142,35.08,70,85,8.72
83,Tabou,CI,2021-11-07 01:01:24,4.423,-7.3528,77.68,85,24,3.27
84,San Patricio,US,2021-11-07 01:01:25,28.017,-97.5169,66.29,57,0,7.4
85,Rio Gallegos,AR,2021-11-07 01:01:25,-51.6226,-69.2181,51.93,60,100,4.92
86,Ilulissat,GL,2021-11-07 01:01:25,69.2167,-51.1,19.42,49,20,5.75
87,Saint-Philippe,RE,2021-11-07 01:01:26,-21.3585,55.7679,69.39,81,38,8.93
88,Iqaluit,CA,2021-11-07 01:01:27,63.7506,-68.5145,22.69,73,100,13.0
89,Ewa Beach,US,2021-11-07 01:01:27,21.3156,-158.0072,83.57,74,90,12.66
90,Mar Del Plata,AR,2021-11-07 00:59:10,-38.0023,-57.5575,53.87,76,100,1.99
91,Katsuura,JP,2021-11-07 01:02:28,35.1333,140.3,65.1,80,100,7.67
92,Matagami,CA,2021-11-07 01:02:29,49.7502,-77.6328,43.54,75,75,10.25
93,Yerofey Pavlovich,RU,2021-11-07 01:02:29,53.9667,121.9667,15.62,49,100,1.5
94,Avarua,CK,2021-11-07 01:02:30,-21.2078,-159.775,78.85,61,40,8.05
95,Ozernovskiy,RU,2021-11-07 01:02:30,51.5,156.5167,38.17,67,16,12.35
96,Atuona,PF,2021-11-07 01:02:30,-9.8,-139.0333,78.22,67,5,15.3
97,Ribeira Grande,PT,2021-11-07 01:02:31,38.5167,-28.7,69.73,88,92,27.51
98,Ternate,ID,2021-11-07 01:02:31,0.8,127.4,84.92,68,86,3.96
99,Butaritari,KI,2021-11-07 01:02:32,3.0707,172.7902,82.33,67,27,15.75
100,Fairbanks,US,2021-11-07 00:58:22,64.8378,-147.7164,25.61,92,90,0.0
101,Kharan,PK,2021-11-07 01:02:32,28.5833,65.4167,59.14,35,1,1.39
102,Srednekolymsk,RU,2021-11-07 01:02:33,67.45,153.6833,4.77,94,100,7.9
103,Royan,FR,2021-11-07 01:02:33,45.6285,-1.0281,46.38,80,32,2.82
104,Denpasar,ID,2021-11-07 01:02:34,-8.65,115.2167,83.86,74,20,4.61
105,Ilo,PE,2021-11-07 01:02:34,-17.6394,-71.3375,64.33,84,40,6.64
